# R2D2 grid neighbours information
1	0.1	5	2	
2	0.3	5	3	1	
3	0.5	5	4	2	
4	0.7	5	5	3	
5	0.9	5	6	4	
6	1.1	5	7	5	
7	1.3	5	8	6	
8	1.5	5	9	7	
9	1.7	5	10	8	
10	1.9	5	11	9	
11	2.1	5	12	10	
12	2.3	5	13	11	
13	2.5	5	14	12	
14	2.7	5	15	13	
15	2.9	5	16	14	
16	3.1	5	17	15	
17	3.3	5	18	16	
18	3.5	5	19	17	
19	3.7	5	20	18	
20	3.9	5	21	19	
21	4.1	5	22	20	
22	4.3	5	23	21	
23	4.5	5	24	22	
24	4.7	5	25	23	
25	4.9	5	26	24	
26	5.1	5	27	25	
27	5.3	5	28	26	
28	5.5	5	29	27	
29	5.7	5	30	28	
30	5.9	5	31	29	
31	6.1	5	32	30	
32	6.3	5	33	31	
33	6.5	5	34	32	
34	6.7	5	35	33	
35	6.9	5	36	34	
36	7.1	5	37	35	
37	7.3	5	38	36	
38	7.5	5	39	37	
39	7.7	5	40	38	
40	7.9	5	41	39	
41	8.1	5	42	40	
42	8.3	5	43	41	
43	8.5	5	44	42	
44	8.7	5	45	43	
45	8.9	5	46	44	
46	9.1	5	47	45	
47	9.3	5	48	46	
48	9.5	5	49	47	
49	9.7	5	50	48	
50	9.9	5	49	
