# R2D2 grid neighbours information
1	0.05	1	2	
2	0.15	1	3	1	
3	0.25	1	4	2	
4	0.35	1	5	3	
5	0.45	1	6	4	
6	0.55	1	7	5	
7	0.65	1	8	6	
8	0.75	1	9	7	
9	0.85	1	10	8	
10	0.95	1	11	9	
11	1.05	1	12	10	
12	1.15	1	13	11	
13	1.25	1	14	12	
14	1.35	1	15	13	
15	1.45	1	16	14	
16	1.55	1	17	15	
17	1.65	1	18	16	
18	1.75	1	19	17	
19	1.85	1	20	18	
20	1.95	1	21	19	
21	2.05	1	22	20	
22	2.15	1	23	21	
23	2.25	1	24	22	
24	2.35	1	25	23	
25	2.45	1	26	24	
26	2.55	1	27	25	
27	2.65	1	28	26	
28	2.75	1	29	27	
29	2.85	1	30	28	
30	2.95	1	31	29	
31	3.05	1	32	30	
32	3.15	1	33	31	
33	3.25	1	34	32	
34	3.35	1	35	33	
35	3.45	1	36	34	
36	3.55	1	37	35	
37	3.65	1	38	36	
38	3.75	1	39	37	
39	3.85	1	40	38	
40	3.95	1	41	39	
41	4.05	1	42	40	
42	4.15	1	43	41	
43	4.25	1	44	42	
44	4.35	1	45	43	
45	4.45	1	46	44	
46	4.55	1	47	45	
47	4.65	1	48	46	
48	4.75	1	49	47	
49	4.85	1	50	48	
50	4.95	1	51	49	
51	5.05	1	52	50	
52	5.15	1	53	51	
53	5.25	1	54	52	
54	5.35	1	55	53	
55	5.45	1	56	54	
56	5.55	1	57	55	
57	5.65	1	58	56	
58	5.75	1	59	57	
59	5.85	1	60	58	
60	5.95	1	61	59	
61	6.05	1	62	60	
62	6.15	1	63	61	
63	6.25	1	64	62	
64	6.35	1	65	63	
65	6.45	1	66	64	
66	6.55	1	67	65	
67	6.65	1	68	66	
68	6.75	1	69	67	
69	6.85	1	70	68	
70	6.95	1	71	69	
71	7.05	1	72	70	
72	7.15	1	73	71	
73	7.25	1	74	72	
74	7.35	1	75	73	
75	7.45	1	76	74	
76	7.55	1	77	75	
77	7.65	1	78	76	
78	7.75	1	79	77	
79	7.85	1	80	78	
80	7.95	1	81	79	
81	8.05	1	82	80	
82	8.15	1	83	81	
83	8.25	1	84	82	
84	8.35	1	85	83	
85	8.45	1	86	84	
86	8.55	1	87	85	
87	8.65	1	88	86	
88	8.75	1	89	87	
89	8.85	1	90	88	
90	8.95	1	91	89	
91	9.05	1	92	90	
92	9.15	1	93	91	
93	9.25	1	94	92	
94	9.35	1	95	93	
95	9.45	1	96	94	
96	9.55	1	97	95	
97	9.65	1	98	96	
98	9.75	1	99	97	
99	9.85	1	100	98	
100	9.95	1	99	
